customer_id,country,gender,birth_year,registration_year,customer_type
JP0001,Japan,Female,1992,2022,Regular
JP0002,Japan,Male,1985,2023,Regular
JP0003,Japan,Female,1998,2024,New
JP0004,Japan,Male,1978,2021,Regular
JP0005,Japan,Female,2001,2025,New
JP0006,Japan,Male,1990,2022,Regular
JP0007,Japan,Female,1988,2023,Regular
JP0008,Japan,Male,1995,2025,New
JP0009,Japan,Female,1975,2020,Regular
JP0010,Japan,Male,1982,2021,Regular
US0001,USA,Female,1991,2022,Regular
US0002,USA,Male,1984,2023,Regular
US0003,USA,Female,1997,2024,New
US0004,USA,Male,1976,2021,Regular
US0005,USA,Female,2000,2025,New
US0006,USA,Male,1989,2022,Regular
US0007,USA,Female,1987,2023,Regular
US0008,USA,Male,1994,2025,New
US0009,USA,Female,1974,2020,Regular
US0010,USA,Male,1981,2021,Regular
