store_id,country,store_name,store_type,city
JP001,Japan,Tokyo Main Store,Store,Tokyo
JP002,Japan,Osaka Store,Store,Osaka
JP003,Japan,Kyoto Store,Store,Kyoto
JP004,Japan,Online Store,Online,Online
US001,USA,New York Store,Store,New York
US002,USA,Los Angeles Store,Store,Los Angeles
US003,USA,San Francisco Store,Store,San Francisco
US004,USA,Online Store,Online,Online
JP005,Japan,Sapporo Store,Store,Sapporo
JP006,Japan,Nagoya Store,Store,Nagoya
JP007,Japan,Fukuoka Store,Store,Fukuoka
JP008,Japan,Yokohama Store,Store,Yokohama
US005,USA,Chicago Store,Store,Chicago
US006,USA,Boston Store,Store,Boston
US007,USA,Seattle Store,Store,Seattle
US008,USA,Houston Store,Store,Houston
